progress_id,student_unique_id,lecture_unique_id,view_count,watched_seconds,progress_percent,downloaded_offline,last_opened_at
P000139,C005,L00216,4,114,10,No,2025-03-09
P000140,C005,L00074,3,1253,100,No,2025-03-10
P000141,C005,L00605,2,353,50,Yes,2025-03-08
P000142,C005,L00683,4,439,50,No,2025-03-11
P000143,C005,L00301,2,164,10,Yes,2025-03-12
P000144,C005,L00825,4,746,100,No,2025-03-03
P000145,C005,L00388,3,739,50,Yes,2025-03-25
P000146,C005,L00867,3,184,20,Yes,2025-03-01
P000147,C005,L00574,1,849,50,Yes,2025-03-19
P000148,C005,L00406,4,672,70,No,2025-03-20
P000149,C005,L00563,0,0,0,Yes,2025-03-04
P000150,C005,L00348,0,0,0,Yes,2025-03-07
P000151,C005,L00718,0,0,0,Yes,2025-03-03
P000152,C005,L00651,1,207,30,Yes,2025-03-15
P000153,C005,L00502,2,88,10,Yes,2025-03-20
P000154,C005,L00740,3,283,30,Yes,2025-03-26
P000155,C005,L00444,1,857,70,Yes,2025-03-04
P000156,C005,L00427,1,398,50,Yes,2025-03-14
P000157,C005,L00318,4,369,30,Yes,2025-03-10
P000158,C005,L00269,3,327,20,Yes,2025-03-17
P000159,C005,L00040,1,276,30,Yes,2025-03-23
P000160,C005,L00707,2,90,10,No,2025-03-07
P000161,C005,L00099,4,119,10,Yes,2025-03-07
P000162,C005,L00315,2,461,30,No,2025-03-10
P000163,C005,L00498,3,366,50,No,2025-03-17
P000164,C006,L00144,1,580,70,Yes,2025-03-15
P000165,C006,L00829,1,1158,100,Yes,2025-03-07
P000166,C006,L00330,2,1475,100,Yes,2025-03-04
P000167,C006,L00698,2,796,70,No,2025-03-10
P000168,C006,L00464,0,0,0,Yes,2025-03-24
P000169,C006,L00804,0,0,0,Yes,2025-03-21
P000170,C006,L00124,0,0,0,Yes,2025-03-10
P000171,C006,L00782,0,0,0,Yes,2025-03-12
P000172,C006,L00559,3,276,30,No,2025-03-08
P000173,C006,L00319,3,499,30,No,2025-03-26
P000174,C006,L00175,0,0,0,Yes,2025-03-04
P000175,C006,L00389,3,136,10,No,2025-03-04
P000176,C006,L00570,3,267,30,No,2025-03-26
P000177,C006,L00636,1,736,100,No,2025-03-04
P000178,C006,L00849,0,0,0,No,2025-03-01
P000179,C006,L00635,1,1117,100,No,2025-03-24
P000180,C006,L00354,4,224,30,Yes,2025-03-21
P000181,C006,L00271,1,736,70,No,2025-03-06
P000182,C006,L00703,0,0,0,Yes,2025-03-18
P000183,C006,L00077,4,1136,100,No,2025-03-06
P000184,C006,L00660,1,605,50,No,2025-03-17
P000185,C006,L00190,0,0,0,Yes,2025-03-01
P000186,C006,L00349,3,611,70,No,2025-03-16
P000187,C006,L00433,3,201,20,Yes,2025-03-16
P000188,C006,L00554,0,0,0,No,2025-03-22
P000189,C006,L00474,0,0,0,Yes,2025-03-18
P000190,C006,L00778,4,473,50,No,2025-03-11
P000191,C006,L00178,3,152,10,No,2025-03-13
P000192,C007,L00409,4,671,50,Yes,2025-03-08
P000193,C007,L00587,1,366,50,No,2025-03-12
P000194,C007,L00265,1,382,30,No,2025-03-15
P000195,C007,L00354,4,105,10,No,2025-03-23
P000196,C007,L00532,3,1557,90,No,2025-03-18
P000197,C007,L00830,2,280,20,No,2025-03-20
P000198,C007,L00086,4,997,90,Yes,2025-03-20
P000199,C007,L00673,4,901,90,Yes,2025-03-20
P000200,C007,L00592,4,405,30,No,2025-03-14
P000201,C007,L00736,2,139,10,No,2025-03-09
P000202,C007,L00651,2,342,20,Yes,2025-03-02
P000203,C007,L00488,2,1390,100,Yes,2025-03-04
P000204,C007,L00145,0,0,0,No,2025-03-19
P000205,C007,L00796,2,959,70,No,2025-03-15
P000206,C007,L00700,4,178,20,Yes,2025-03-06
P000207,C007,L00178,2,310,20,No,2025-03-08
P000208,C007,L00527,4,123,20,Yes,2025-03-21
P000209,C007,L00362,3,154,20,No,2025-03-26
P000210,C007,L00447,2,1014,70,No,2025-03-01
P000211,C007,L00459,4,677,70,No,2025-03-10
P000212,C007,L00848,1,497,30,Yes,2025-03-24
P000213,C008,L00242,3,430,30,No,2025-03-01
P000214,C008,L00546,4,133,10,Yes,2025-03-11
P000215,C008,L00395,0,0,0,No,2025-03-04
P000216,C008,L00541,4,1031,70,Yes,2025-03-03
P000217,C008,L00444,4,778,50,No,2025-03-10
P000218,C008,L00542,0,0,0,No,2025-03-06
P000219,C008,L00543,0,0,0,No,2025-03-01
P000220,C008,L00016,2,801,70,Yes,2025-03-25
P000221,C008,L00252,2,891,50,Yes,2025-03-13
P000222,C008,L00694,3,1678,100,No,2025-03-24
P000223,C008,L00260,3,120,20,Yes,2025-03-24
P000224,C008,L00059,2,345,20,No,2025-03-23
P000225,C008,L00479,1,1308,100,Yes,2025-03-06
P000226,C008,L00108,1,442,50,Yes,2025-03-03
P000227,C008,L00709,2,61,10,Yes,2025-03-08
P000228,C008,L00448,1,374,30,Yes,2025-03-16
P000229,C008,L00114,2,242,30,No,2025-03-02
P000230,C008,L00637,4,556,90,No,2025-03-14
P000231,C008,L00669,3,151,10,Yes,2025-03-20
P000232,C008,L00474,2,360,50,Yes,2025-03-07
P000233,C008,L00360,3,456,30,Yes,2025-03-20
P000234,C008,L00409,1,1243,100,No,2025-03-10
P000235,C008,L00595,4,1157,70,Yes,2025-03-06
P000236,C008,L00495,2,1119,90,No,2025-03-03
P000237,C008,L00280,1,153,10,Yes,2025-03-08
P000238,C008,L00663,4,265,30,Yes,2025-03-07
P000239,C008,L00577,1,567,50,Yes,2025-03-14
P000240,C008,L00337,0,0,0,No,2025-03-24
P000241,C008,L00370,0,0,0,No,2025-03-04
P000242,C008,L00365,4,342,30,Yes,2025-03-01
P000243,C008,L00837,1,81,10,Yes,2025-03-13
P000244,C008,L00135,4,261,20,No,2025-03-07
P000245,C008,L00601,1,467,30,Yes,2025-03-07
P000246,C008,L00142,3,910,70,No,2025-03-21
P000247,C009,L00626,1,293,30,No,2025-03-21
P000248,C009,L00645,1,77,10,Yes,2025-03-16
P000249,C009,L00770,0,0,0,No,2025-03-16
P000250,C009,L00649,1,1712,100,No,2025-03-11
P000251,C009,L00774,3,146,10,No,2025-03-20
P000252,C009,L00639,0,0,0,No,2025-03-07
P000253,C009,L00323,0,0,0,Yes,2025-03-11
P000254,C009,L00443,4,700,90,Yes,2025-03-09
P000255,C009,L00164,0,0,0,No,2025-03-06
P000256,C009,L00538,3,907,70,No,2025-03-02
P000257,C009,L00785,3,359,50,No,2025-03-02
P000258,C009,L00155,1,1027,100,No,2025-03-07
P000259,C009,L00296,1,167,10,No,2025-03-21
P000260,C009,L00303,3,515,50,No,2025-03-09
P000261,C009,L00816,1,137,10,No,2025-03-26
P000262,C009,L00098,2,360,30,Yes,2025-03-24
P000263,C009,L00658,2,1383,100,Yes,2025-03-13
P000264,C009,L00696,4,1578,100,Yes,2025-03-04
P000265,C009,L00826,1,616,70,No,2025-03-05
P000266,C009,L00779,2,1007,70,Yes,2025-03-19
P000267,C009,L00851,2,538,50,No,2025-03-25
P000268,C009,L00733,0,0,0,Yes,2025-03-26
P000269,C009,L00373,1,86,10,No,2025-03-19
P000270,C009,L00796,3,492,30,No,2025-03-24
P000271,C009,L00511,0,0,0,Yes,2025-03-26
P000272,C009,L00814,3,810,70,No,2025-03-17
P000273,C009,L00421,4,87,10,No,2025-03-02
P000274,C009,L00014,0,0,0,No,2025-03-07
P000275,C009,L00723,1,872,50,Yes,2025-03-12
P000276,C009,L00540,4,1096,90,Yes,2025-03-05
P000277,C010,L00718,3,80,10,Yes,2025-03-08
P000278,C010,L00694,1,698,90,No,2025-03-22
P000279,C010,L00751,1,877,70,No,2025-03-06
P000280,C010,L00804,0,0,0,Yes,2025-03-16
P000281,C010,L00764,0,0,0,No,2025-03-02
P000282,C010,L00681,3,1418,90,Yes,2025-03-10
P000283,C010,L00410,3,136,10,No,2025-03-02
P000284,C010,L00575,4,1144,70,Yes,2025-03-03
P000285,C010,L00682,0,0,0,Yes,2025-03-24
P000286,C010,L00577,0,0,0,Yes,2025-03-11
P000287,C010,L00628,0,0,0,No,2025-03-06
P000288,C010,L00026,1,705,90,Yes,2025-03-15
P000289,C010,L00439,4,525,50,Yes,2025-03-17
P000290,C010,L00416,0,0,0,Yes,2025-03-18
P000291,C010,L00074,0,0,0,Yes,2025-03-10
P000292,C010,L00403,2,490,50,No,2025-03-19
P000293,C010,L00296,4,126,10,No,2025-03-02
P000294,C010,L00235,0,0,0,Yes,2025-03-19
P000295,C010,L00155,4,1526,100,Yes,2025-03-18
P000296,C010,L00617,2,563,50,No,2025-03-06
P000297,C010,L00099,2,327,30,Yes,2025-03-26
P000298,C010,L00709,1,1504,90,No,2025-03-12
P000299,C010,L00028,4,341,20,No,2025-03-08
P000300,C010,L00316,1,220,20,No,2025-03-16
P000301,C010,L00053,2,571,90,No,2025-03-03
P000302,C010,L00346,1,150,10,No,2025-03-13
P000303,C010,L00303,2,516,30,No,2025-03-15
P000304,C010,L00725,1,124,10,No,2025-03-02
P000305,C010,L00710,0,0,0,No,2025-03-11
P000306,C010,L00096,4,1021,70,Yes,2025-03-08
P000307,C010,L00425,2,1420,100,No,2025-03-11
P000308,C010,L00378,1,261,20,No,2025-03-01
P000309,C010,L00501,1,754,90,No,2025-03-20
P000310,C010,L00524,2,666,100,No,2025-03-07
P000311,C010,L00124,2,954,100,No,2025-03-07
P000312,C011,L00749,0,0,0,No,2025-03-16
P000313,C011,L00058,1,517,30,Yes,2025-03-10
P000314,C011,L00459,2,300,30,Yes,2025-03-24
P000315,C011,L00645,4,427,70,No,2025-03-06
P000316,C011,L00439,0,0,0,No,2025-03-23
P000317,C011,L00429,0,0,0,No,2025-03-18
P000318,C011,L00847,2,1414,100,No,2025-03-04
P000319,C011,L00024,1,315,20,No,2025-03-19
P000320,C011,L00418,3,429,30,Yes,2025-03-22
P000321,C011,L00216,2,311,50,Yes,2025-03-17
P000322,C011,L00161,2,527,30,No,2025-03-11
P000323,C011,L00599,0,0,0,Yes,2025-03-19
P000324,C011,L00777,4,222,20,Yes,2025-03-26
P000325,C011,L00043,1,1260,70,No,2025-03-19
P000326,C011,L00626,3,746,100,No,2025-03-17
P000327,C011,L00642,0,0,0,Yes,2025-03-25
P000328,C011,L00273,0,0,0,No,2025-03-23
P000329,C011,L00368,4,997,100,No,2025-03-09
P000330,C011,L00412,0,0,0,No,2025-03-23
P000331,C011,L00182,2,1036,100,Yes,2025-03-20
P000332,C011,L00330,3,256,30,No,2025-03-23
P000333,C012,L00864,4,124,20,No,2025-03-18
P000334,C012,L00340,1,1391,100,No,2025-03-10
P000335,C012,L00419,1,150,10,No,2025-03-08
P000336,C012,L00073,1,1678,100,No,2025-03-26
P000337,C012,L00785,4,455,30,Yes,2025-03-25
P000338,C012,L00273,2,1506,100,No,2025-03-26
P000339,C012,L00570,0,0,0,No,2025-03-23
P000340,C012,L00668,0,0,0,Yes,2025-03-17
P000341,C012,L00810,3,185,30,Yes,2025-03-21
P000342,C012,L00086,3,1521,90,Yes,2025-03-24
P000343,C012,L00563,1,1005,90,No,2025-03-17
P000344,C012,L00611,4,702,100,Yes,2025-03-19
P000345,C012,L00468,3,748,90,Yes,2025-03-26
P000346,C012,L00706,3,505,70,Yes,2025-03-13
P000347,C012,L00515,1,159,20,Yes,2025-03-01
P000348,C012,L00507,3,678,50,Yes,2025-03-09
P000349,C012,L00495,3,147,10,Yes,2025-03-04
P000350,C012,L00698,1,1065,70,No,2025-03-16
P000351,C012,L00362,1,1557,90,Yes,2025-03-14
P000352,C012,L00659,0,0,0,Yes,2025-03-23
P000353,C012,L00827,2,1228,70,Yes,2025-03-18
P000354,C012,L00081,0,0,0,No,2025-03-02
P000355,C012,L00514,1,111,10,No,2025-03-21
P000356,C012,L00241,2,1281,100,No,2025-03-09
P000357,C012,L00038,2,199,20,Yes,2025-03-05
P000358,C012,L00112,0,0,0,No,2025-03-11
P000359,C012,L00520,2,202,20,Yes,2025-03-25
P000360,C012,L00203,3,524,50,No,2025-03-02
P000361,C012,L00656,0,0,0,Yes,2025-03-17
P000362,C012,L00845,4,720,50,Yes,2025-03-08
P000363,C012,L00725,4,448,50,Yes,2025-03-02
P000364,C012,L00824,1,324,20,Yes,2025-03-18
P000365,C012,L00694,2,1722,100,No,2025-03-07
P000366,C012,L00776,2,392,30,Yes,2025-03-23
P000367,C012,L00512,3,274,20,No,2025-03-23
P000368,C012,L00197,2,309,30,Yes,2025-03-05
P000369,C012,L00647,4,304,20,No,2025-03-13
P000370,C013,L00038,4,338,50,Yes,2025-03-05
P000371,C013,L00016,0,0,0,Yes,2025-03-12
P000372,C013,L00493,1,80,10,No,2025-03-15
P000373,C013,L00456,0,0,0,No,2025-03-21
P000374,C013,L00365,0,0,0,No,2025-03-10
P000375,C013,L00236,2,636,70,No,2025-03-10
P000376,C013,L00302,1,438,30,No,2025-03-23
P000377,C013,L00460,0,0,0,Yes,2025-03-25
P000378,C013,L00462,3,303,20,No,2025-03-10
P000379,C013,L00097,4,314,20,Yes,2025-03-10
P000380,C013,L00006,0,0,0,No,2025-03-12
P000381,C013,L00560,3,1363,90,Yes,2025-03-16
P000382,C013,L00386,1,482,30,No,2025-03-26
P000383,C013,L00021,4,141,20,Yes,2025-03-18
P000384,C013,L00357,4,1496,100,Yes,2025-03-09
P000385,C013,L00115,2,166,10,Yes,2025-03-07
P000386,C013,L00031,0,0,0,No,2025-03-05
P000387,C013,L00542,3,331,20,No,2025-03-17
P000388,C013,L00471,0,0,0,No,2025-03-09
P000389,C013,L00212,0,0,0,Yes,2025-03-09
P000390,C013,L00696,2,83,10,No,2025-03-16
P000391,C013,L00165,1,1397,90,No,2025-03-13
P000392,C013,L00407,1,565,50,Yes,2025-03-26
P000393,C013,L00400,1,135,10,Yes,2025-03-11
P000394,C013,L00776,3,179,10,Yes,2025-03-20
P000395,C013,L00251,0,0,0,Yes,2025-03-04
P000396,C013,L00593,4,1242,100,Yes,2025-03-14
P000397,C013,L00860,1,1591,90,No,2025-03-12
P000398,C013,L00627,3,356,50,Yes,2025-03-07
P000399,C013,L00373,4,913,90,No,2025-03-22
P000400,C013,L00230,0,0,0,Yes,2025-03-10
P000401,C013,L00505,1,555,70,Yes,2025-03-09
P000402,C013,L00403,0,0,0,Yes,2025-03-21
P000403,C013,L00418,4,1310,100,Yes,2025-03-02
P000404,C013,L00119,1,333,20,No,2025-03-22
P000405,C013,L00232,0,0,0,Yes,2025-03-01
P000406,C014,L00226,2,607,90,No,2025-03-04
P000407,C014,L00184,2,340,30,No,2025-03-01
P000408,C014,L00398,0,0,0,Yes,2025-03-04
P000409,C014,L00527,3,848,100,Yes,2025-03-01
P000410,C014,L00711,4,672,50,No,2025-03-04
P000411,C014,L00671,0,0,0,Yes,2025-03-10
P000412,C014,L00502,4,1618,90,No,2025-03-08
P000413,C014,L00566,2,1066,70,Yes,2025-03-05
P000414,C014,L00086,0,0,0,Yes,2025-03-05
P000415,C014,L00126,2,728,70,No,2025-03-20
P000416,C014,L00256,1,198,30,Yes,2025-03-10
P000417,C014,L00359,1,525,30,Yes,2025-03-05
P000418,C014,L00319,1,1016,70,No,2025-03-22
P000419,C014,L00583,3,221,30,Yes,2025-03-18
P000420,C014,L00584,3,242,20,Yes,2025-03-23
P000421,C014,L00382,1,1052,100,No,2025-03-05
P000422,C014,L00683,2,302,20,Yes,2025-03-14
P000423,C014,L00262,4,119,10,Yes,2025-03-22
P000424,C014,L00200,2,344,20,No,2025-03-26
P000425,C014,L00334,3,957,100,Yes,2025-03-06
P000426,C014,L00005,0,0,0,No,2025-03-10
P000427,C014,L00207,2,715,100,No,2025-03-10
P000428,C014,L00640,2,172,20,Yes,2025-03-02
P000429,C014,L00144,0,0,0,No,2025-03-25
P000430,C014,L00788,2,1607,90,No,2025-03-10
P000431,C014,L00254,1,611,50,Yes,2025-03-24
P000432,C014,L00623,1,1034,70,No,2025-03-11
P000433,C014,L00658,3,418,50,No,2025-03-19
P000434,C014,L00408,4,1561,100,Yes,2025-03-04
P000435,C014,L00010,0,0,0,Yes,2025-03-02
P000436,C014,L00199,4,105,10,Yes,2025-03-14
P000437,C014,L00852,1,297,30,Yes,2025-03-08
P000438,C014,L00732,4,625,90,Yes,2025-03-21
P000439,C014,L00364,0,0,0,Yes,2025-03-04
P000440,C014,L00568,0,0,0,No,2025-03-08
P000441,C014,L00354,1,329,50,Yes,2025-03-04
P000442,C014,L00352,2,1053,90,Yes,2025-03-02
P000443,C015,L00714,1,184,20,Yes,2025-03-23
P000444,C015,L00875,4,160,10,No,2025-03-06
P000445,C015,L00406,4,423,30,Yes,2025-03-17
P000446,C015,L00728,2,1022,70,No,2025-03-12
P000447,C015,L00416,0,0,0,No,2025-03-03
P000448,C015,L00418,4,767,90,No,2025-03-18
P000449,C015,L00298,2,1023,100,No,2025-03-20
P000450,C015,L00150,1,1431,90,Yes,2025-03-21
P000451,C015,L00168,0,0,0,Yes,2025-03-24
P000452,C015,L00448,2,708,90,Yes,2025-03-05
P000453,C015,L00424,1,706,50,Yes,2025-03-07
P000454,C015,L00475,1,94,10,Yes,2025-03-01
P000455,C015,L00121,1,314,50,Yes,2025-03-04
P000456,C015,L00701,0,0,0,Yes,2025-03-12
P000457,C015,L00251,4,423,70,Yes,2025-03-17
P000458,C015,L00154,0,0,0,Yes,2025-03-02
P000459,C015,L00400,0,0,0,Yes,2025-03-03
P000460,C015,L00124,2,1158,90,No,2025-03-10
P000461,C015,L00652,4,205,20,No,2025-03-05
P000462,C015,L00403,0,0,0,No,2025-03-21
P000463,C015,L00489,0,0,0,No,2025-03-22
P000464,C015,L00021,4,628,90,No,2025-03-09
P000465,C015,L00478,3,160,20,No,2025-03-22
P000466,C015,L00011,0,0,0,No,2025-03-25
P000467,C015,L00003,1,139,10,No,2025-03-08
P000468,C015,L00146,2,1198,100,Yes,2025-03-21
P000469,C015,L00253,0,0,0,No,2025-03-12
P000470,C015,L00231,4,170,10,Yes,2025-03-24
P000471,C015,L00237,0,0,0,Yes,2025-03-19
P000472,C015,L00161,0,0,0,Yes,2025-03-05
P000473,C015,L00205,2,777,100,Yes,2025-03-07
P000474,C015,L00730,0,0,0,Yes,2025-03-18
P000475,C015,L00147,3,727,90,No,2025-03-04
P000476,C016,L00548,4,395,50,Yes,2025-03-26
P000477,C016,L00597,0,0,0,Yes,2025-03-02
P000478,C016,L00679,0,0,0,Yes,2025-03-18
P000479,C016,L00152,4,912,90,Yes,2025-03-14
P000480,C016,L00247,4,723,90,Yes,2025-03-06
P000481,C016,L00495,3,176,10,Yes,2025-03-04
P000482,C016,L00779,4,610,90,No,2025-03-26
P000483,C016,L00796,4,580,50,No,2025-03-15
P000484,C016,L00264,2,480,30,Yes,2025-03-13
P000485,C016,L00187,3,421,70,Yes,2025-03-18
P000486,C016,L00577,4,347,20,No,2025-03-25
P000487,C016,L00848,3,306,20,Yes,2025-03-16
P000488,C016,L00176,0,0,0,Yes,2025-03-04
P000489,C016,L00714,4,461,50,Yes,2025-03-19
P000490,C016,L00180,1,1020,100,Yes,2025-03-15
P000491,C016,L00712,0,0,0,Yes,2025-03-05
P000492,C016,L00100,3,1367,100,No,2025-03-20
P000493,C016,L00234,3,333,50,No,2025-03-09
P000494,C016,L00592,4,945,90,No,2025-03-19
P000495,C016,L00646,3,134,20,Yes,2025-03-19
P000496,C016,L00742,4,920,70,No,2025-03-09
P000497,C016,L00639,1,478,30,No,2025-03-01
P000498,C016,L00016,0,0,0,Yes,2025-03-18
P000499,C017,L00346,1,610,50,No,2025-03-01
P000500,C017,L00361,0,0,0,Yes,2025-03-11
P000501,C017,L00063,0,0,0,No,2025-03-20
P000502,C017,L00822,2,1657,100,No,2025-03-02
P000503,C017,L00305,3,1135,100,Yes,2025-03-16
P000504,C017,L00334,0,0,0,No,2025-03-03
P000505,C017,L00470,2,327,50,Yes,2025-03-15
P000506,C017,L00762,0,0,0,No,2025-03-20
P000507,C017,L00219,0,0,0,No,2025-03-22
P000508,C017,L00676,4,313,50,Yes,2025-03-11
P000509,C017,L00457,1,102,10,Yes,2025-03-23
P000510,C017,L00331,4,188,20,Yes,2025-03-23
P000511,C017,L00142,4,910,70,Yes,2025-03-16
