student_unique_id,course_id,oral_grade,practical_grade,midterm_grade,assignment_grade
C018,A00276,6.2,6.5,7.0,3.0
C018,A00277,0.0,0.0,7.4,10.0
C018,A00278,6.0,6.5,5.2,10.0
C018,A00279,4.6,5.8,5.6,3.0
C018,A00280,4.9,6.0,5.4,3.0
C020,A00241,4.6,7.7,7.3,3.0
C020,A00242,6.7,5.3,4.2,3.0
C020,A00243,5.6,7.9,5.2,3.0
C020,A00244,6.3,6.5,6.7,3.0
C020,A00249,7.7,7.1,6.3,10.0
C020,A00250,5.4,5.3,5.7,10.0
C020,A00251,5.9,6.2,6.2,10.0
C020,A00252,7.1,5.3,4.8,10.0
C020,A00269,5.3,8.4,5.7,3.0
C020,A00270,4.8,7.8,6.0,10.0
C020,A00271,5.5,6.6,7.6,3.0
C020,A00272,5.1,5.8,5.0,10.0
C020,A00273,7.8,8.3,7.5,10.0
C020,A00274,7.3,6.2,6.6,10.0
C020,A00275,6.7,5.6,4.1,3.0
C020,A00276,7.6,7.0,6.9,3.0
C020,A00277,7.3,8.3,4.1,3.0
C020,A00278,5.2,5.0,8.0,10.0
C020,A00279,7.6,5.8,7.5,10.0
C020,A00280,6.4,8.3,5.2,10.0
C021,A00245,7.3,5.6,5.0,10.0
C021,A00246,7.6,5.4,5.5,3.0
C021,A00247,5.6,7.0,5.4,10.0
C021,A00248,4.9,8.0,5.5,10.0
C021,A00249,5.3,6.7,5.3,10.0
C021,A00250,6.0,8.5,6.5,10.0
C021,A00251,7.4,7.4,4.7,10.0
C021,A00252,7.5,5.3,7.4,10.0
C021,A00257,4.5,8.5,7.2,10.0
C021,A00258,6.3,6.4,5.9,10.0
C021,A00259,6.0,6.0,7.4,10.0
C021,A00260,5.3,7.0,5.0,10.0
C021,A00261,0.0,0.0,4.1,10.0
C021,A00262,5.7,5.3,6.5,10.0
C021,A00263,7.8,5.0,5.8,3.0
C021,A00264,5.6,6.6,6.3,10.0
C021,A00265,6.3,7.9,7.6,10.0
C021,A00266,7.0,7.0,7.9,10.0
C021,A00267,5.8,8.5,6.5,3.0
C021,A00268,7.9,6.0,7.1,10.0
C022,A00241,7.9,6.0,4.3,3.0
C022,A00242,5.4,5.6,4.6,3.0
C022,A00243,6.2,5.6,6.9,3.0
C022,A00244,5.6,6.0,5.7,3.0
C022,A00249,5.5,7.8,5.8,3.0
C022,A00250,4.6,8.2,5.2,3.0
C022,A00251,6.6,8.4,6.4,3.0
C022,A00252,6.3,5.8,4.7,10.0
C022,A00253,4.7,8.1,6.5,10.0
C022,A00254,5.5,6.1,4.7,10.0
C022,A00255,7.7,5.4,4.3,3.0
C022,A00256,5.3,8.0,5.3,3.0
C022,A00273,5.0,7.2,4.9,3.0
C022,A00274,6.2,5.6,7.6,10.0
C022,A00275,7.9,6.5,4.2,10.0
C022,A00276,5.3,6.0,4.7,10.0
C022,A00277,0.0,0.0,6.2,10.0
C022,A00278,0.0,0.0,5.9,10.0
C022,A00279,5.3,8.5,4.2,10.0
C022,A00280,7.0,5.2,4.0,3.0
C027,A00245,5.8,6.2,8.0,10.0
C027,A00246,6.7,6.7,6.6,3.0
C027,A00247,6.7,6.8,5.5,3.0
C027,A00248,6.4,6.1,5.9,10.0
C027,A00249,4.8,7.6,5.1,10.0
C027,A00250,7.4,8.1,5.4,3.0
C027,A00251,5.6,8.3,6.6,10.0
C027,A00252,5.2,7.8,7.5,3.0
C027,A00253,4.6,8.0,4.7,3.0
C027,A00254,6.6,6.9,7.4,3.0
C027,A00255,6.9,7.9,4.5,10.0
C027,A00256,4.6,6.1,4.9,10.0
C027,A00257,6.3,6.4,4.1,10.0
C027,A00258,5.3,6.1,4.6,10.0
C027,A00259,6.8,6.6,7.7,10.0
C027,A00260,5.1,6.0,5.8,3.0
C027,A00265,6.9,8.4,4.3,10.0
C027,A00266,5.9,6.1,7.8,3.0
C027,A00267,7.8,5.3,7.5,3.0
C027,A00268,5.0,6.8,7.0,3.0
C028,A00249,5.7,5.2,7.7,10.0
C028,A00250,4.9,5.4,4.9,3.0
C028,A00251,7.7,5.8,7.3,3.0
C028,A00252,7.6,6.6,6.8,3.0
C028,A00261,5.4,6.5,7.5,3.0
C028,A00262,6.8,7.8,7.2,10.0
C028,A00263,7.4,7.6,5.4,10.0
C028,A00264,6.4,6.5,7.1,3.0
C028,A00269,6.4,6.2,5.0,10.0
C028,A00270,5.3,6.1,5.3,10.0
C028,A00271,4.8,7.7,4.4,3.0
C028,A00272,7.6,5.2,7.7,3.0
C028,A00273,7.7,5.0,5.2,10.0
C028,A00274,6.7,7.8,6.1,3.0
C028,A00275,5.7,6.7,5.6,3.0
C028,A00276,5.7,5.5,7.8,10.0
C028,A00277,7.0,5.8,5.3,3.0
C028,A00278,7.6,8.3,7.1,3.0
C028,A00279,0.0,0.0,7.4,3.0
C028,A00280,7.2,7.5,5.7,3.0
C029,A00241,6.7,6.7,5.5,10.0
C029,A00242,4.8,6.8,7.0,3.0
C029,A00243,5.1,8.4,7.7,3.0
C029,A00244,7.6,8.4,7.0,3.0
C029,A00257,6.6,5.8,4.9,10.0
C029,A00258,4.5,7.8,7.6,10.0
C029,A00259,4.9,5.7,5.6,10.0
C029,A00260,6.8,5.7,6.3,3.0
C029,A00261,0.0,0.0,7.3,10.0
C029,A00262,5.1,6.4,4.8,3.0
C029,A00263,6.4,8.3,7.1,10.0
C029,A00264,6.9,5.3,6.4,10.0
C029,A00265,6.8,6.8,7.6,10.0
C029,A00266,5.3,8.2,4.7,10.0
C029,A00267,7.0,8.2,5.7,3.0
C029,A00268,5.3,5.5,7.3,3.0
C029,A00277,5.6,6.3,4.1,10.0
C029,A00278,0.0,0.0,4.4,3.0
C029,A00279,6.8,5.6,8.0,10.0
C029,A00280,7.5,8.4,5.1,10.0
C035,A00245,6.8,8.2,7.9,3.0
C035,A00246,6.5,5.6,4.7,10.0
C035,A00247,4.8,5.4,5.4,10.0
C035,A00248,5.8,5.3,7.0,3.0
C035,A00249,5.4,8.2,6.6,10.0
C035,A00250,5.4,5.7,6.3,10.0
C035,A00251,7.9,6.5,6.1,10.0
C035,A00252,5.9,6.6,7.4,3.0
C035,A00261,7.6,7.1,4.9,10.0
C035,A00262,6.7,5.3,5.8,3.0
C035,A00263,0.0,0.0,4.6,10.0
C035,A00264,6.3,8.3,6.4,10.0
C035,A00265,6.5,8.2,5.0,3.0
C035,A00266,0.0,0.0,5.3,10.0
C035,A00267,5.2,5.1,5.9,10.0
C035,A00268,7.0,6.1,4.1,3.0
C035,A00269,5.5,7.2,4.4,10.0
C035,A00270,4.6,6.0,6.7,10.0
C035,A00271,6.8,8.2,5.7,3.0
C035,A00272,0.0,0.0,7.5,10.0
C036,A00241,7.8,5.3,6.8,10.0
C036,A00242,7.8,8.2,4.0,10.0
C036,A00243,7.7,8.4,6.5,3.0
C036,A00244,5.8,5.3,4.4,10.0
C036,A00249,4.6,6.9,7.1,10.0
C036,A00250,7.7,6.1,8.0,10.0
C036,A00251,6.0,6.4,6.1,10.0
C036,A00252,0.0,0.0,6.7,3.0
C036,A00261,7.9,7.0,4.9,10.0
C036,A00262,7.5,8.4,5.8,10.0
C036,A00263,5.5,6.8,7.4,3.0
C036,A00264,5.8,5.3,4.7,10.0
C036,A00269,7.5,7.2,5.1,3.0
C036,A00270,5.6,6.2,5.8,10.0
C036,A00271,5.1,8.0,6.8,3.0
C036,A00272,6.4,6.5,5.5,3.0
C036,A00277,7.8,5.7,7.7,10.0
C036,A00278,6.9,5.7,4.4,10.0
C036,A00279,6.5,7.7,5.5,10.0
C036,A00280,4.8,5.9,6.8,10.0
C038,A00241,6.7,7.7,4.9,10.0
C038,A00242,8.0,5.7,6.6,10.0
C038,A00243,5.0,6.1,4.7,10.0
C038,A00244,0.0,0.0,4.2,10.0
C038,A00253,7.6,8.3,4.5,3.0
C038,A00254,7.1,8.3,7.7,3.0
C038,A00255,6.9,5.7,6.2,10.0
C038,A00256,7.0,6.3,7.2,10.0
C038,A00257,5.8,5.5,5.3,10.0
C038,A00258,5.5,6.8,6.4,10.0
C038,A00259,7.3,6.6,6.0,10.0
C038,A00260,7.3,8.2,7.8,3.0
C038,A00261,7.5,8.3,7.0,3.0
C038,A00262,7.7,6.3,6.9,10.0
C038,A00263,6.3,6.7,4.2,10.0
C038,A00264,6.3,8.1,6.2,3.0
C038,A00269,7.3,7.8,5.9,3.0
C038,A00270,6.8,5.0,7.7,10.0
C038,A00271,7.0,6.1,5.0,10.0
C038,A00272,7.3,6.5,5.1,10.0
C041,A00245,7.6,5.8,5.6,10.0
C041,A00246,5.7,5.7,5.0,10.0
C041,A00247,5.8,5.1,4.5,10.0
C041,A00248,4.8,7.3,7.4,10.0
C041,A00249,6.5,5.9,6.2,10.0
C041,A00250,4.6,5.2,7.4,10.0
C041,A00251,6.1,5.8,7.3,10.0
C041,A00252,6.4,7.8,5.1,10.0
C041,A00253,5.5,8.0,6.2,3.0
C041,A00254,6.6,6.7,4.3,3.0
C041,A00255,4.6,6.5,7.7,3.0
C041,A00256,4.6,8.4,5.6,10.0
C041,A00257,7.4,5.7,5.6,3.0
C041,A00258,5.8,5.8,5.2,3.0
C041,A00259,4.9,6.0,5.8,3.0
C041,A00260,6.3,5.6,5.0,10.0
C041,A00261,0.0,0.0,5.5,3.0
C041,A00262,5.3,8.2,7.2,3.0
C041,A00263,6.7,7.2,7.3,3.0
C041,A00264,4.8,6.4,5.2,10.0
C048,A00249,4.7,8.3,5.9,10.0
C048,A00250,6.4,5.2,7.5,10.0
C048,A00251,6.4,5.7,4.2,3.0
C048,A00252,6.7,7.0,7.6,3.0
C048,A00253,7.0,7.2,4.9,10.0
C048,A00254,7.9,5.1,6.7,3.0
C048,A00255,6.3,6.4,6.3,10.0
C048,A00256,5.6,7.3,6.2,3.0
C048,A00257,7.3,7.4,7.4,10.0
C048,A00258,5.4,7.2,4.4,10.0
C048,A00259,6.0,6.1,5.4,10.0
C048,A00260,4.8,5.3,6.2,3.0
C048,A00265,4.6,6.5,7.2,10.0
C048,A00266,7.9,5.5,4.9,3.0
C048,A00267,7.4,8.3,7.2,3.0
C048,A00268,6.9,6.7,5.6,10.0
C048,A00277,5.9,6.1,4.8,10.0
C048,A00278,5.1,7.7,7.0,3.0
C048,A00279,5.0,6.7,4.4,3.0
C048,A00280,5.4,6.1,6.1,10.0
C049,A00241,6.4,7.8,4.3,10.0
C049,A00242,0.0,0.0,5.4,3.0
C049,A00243,6.8,7.4,6.4,10.0
C049,A00244,5.5,5.2,6.2,10.0
C049,A00245,0.0,0.0,5.6,10.0
C049,A00246,7.1,7.7,5.7,10.0
C049,A00247,6.4,5.5,4.9,3.0
C049,A00248,6.6,5.8,5.8,10.0
C049,A00257,6.0,8.1,7.8,10.0
C049,A00258,5.4,5.1,7.4,3.0
C049,A00259,5.7,7.6,4.6,3.0
C049,A00260,7.2,6.7,4.1,10.0
C049,A00261,4.6,6.6,7.7,3.0
C049,A00262,4.9,5.0,6.1,3.0
C049,A00263,0.0,0.0,6.2,10.0
C049,A00264,4.6,6.3,7.1,10.0
C049,A00277,7.5,6.9,5.3,10.0
C049,A00278,7.0,7.4,5.9,3.0
C049,A00279,6.2,7.5,7.9,10.0
C049,A00280,4.8,8.3,6.7,3.0
C052,A00245,6.2,6.9,4.6,3.0
C052,A00246,6.2,6.4,4.5,10.0
C052,A00247,5.1,8.3,4.8,3.0
C052,A00248,6.0,7.2,7.1,10.0
C052,A00249,5.9,6.0,5.2,3.0
C052,A00250,6.7,5.4,4.1,3.0
C052,A00251,0.0,0.0,7.8,10.0
C052,A00252,4.7,6.3,4.7,10.0
C052,A00253,5.8,7.3,4.0,3.0
C052,A00254,6.7,6.6,4.9,3.0
C052,A00255,6.3,5.7,4.9,10.0
C052,A00256,0.0,0.0,5.7,10.0
C052,A00261,6.8,5.2,7.7,3.0
C052,A00262,5.1,6.4,7.5,10.0
C052,A00263,4.7,6.9,5.8,3.0
C052,A00264,6.7,6.5,5.6,10.0
C052,A00265,4.6,7.6,6.2,3.0
C052,A00266,6.6,7.9,5.0,10.0
C052,A00267,7.8,7.7,4.2,3.0
C052,A00268,6.5,5.1,7.8,10.0
C057,A00241,5.9,5.7,4.7,10.0
C057,A00242,6.8,6.9,4.8,3.0
C057,A00243,6.1,8.3,5.9,3.0
C057,A00244,6.4,7.9,6.0,3.0
C057,A00245,7.8,7.9,4.1,10.0
C057,A00246,5.9,6.1,4.6,3.0
C057,A00247,7.9,6.5,5.5,3.0
C057,A00248,7.7,6.6,6.7,3.0
C057,A00249,5.2,5.6,4.9,10.0
C057,A00250,4.7,5.1,5.7,10.0
C057,A00251,4.9,8.3,6.2,10.0
C057,A00252,4.6,5.8,7.6,10.0
C057,A00261,4.8,5.8,5.3,10.0
C057,A00262,6.9,5.3,4.5,3.0
C057,A00263,4.7,8.2,6.0,3.0
C057,A00264,5.6,7.0,7.0,10.0
C057,A00269,7.5,7.3,4.4,3.0
C057,A00270,4.6,8.2,5.7,3.0
C057,A00271,7.4,6.2,4.1,10.0
C057,A00272,5.5,7.2,4.1,10.0
C060,A00245,4.9,5.1,5.9,3.0
C060,A00246,0.0,0.0,5.2,10.0
C060,A00247,6.7,7.9,7.4,10.0
C060,A00248,7.6,7.7,6.4,10.0
C060,A00249,7.1,6.2,5.8,10.0
C060,A00250,7.3,6.3,5.6,10.0
C060,A00251,5.5,6.9,6.0,3.0
C060,A00252,5.1,5.0,4.2,10.0
C060,A00253,7.1,5.8,7.6,10.0
C060,A00254,7.3,5.7,8.0,10.0
C060,A00255,8.0,5.9,4.7,10.0
C060,A00256,5.9,7.8,4.5,3.0
C060,A00257,5.8,6.0,4.6,10.0
C060,A00258,0.0,0.0,6.6,3.0
C060,A00259,5.7,6.8,6.6,10.0
C060,A00260,7.8,8.0,7.4,10.0
C060,A00273,7.5,5.8,7.0,3.0
C060,A00274,6.0,5.3,5.8,10.0
C060,A00275,7.1,6.2,6.5,10.0
C060,A00276,7.1,7.6,6.8,3.0
C062,A00241,4.9,6.9,6.1,10.0
C062,A00242,0.0,0.0,5.9,3.0
C062,A00243,6.3,8.4,6.6,3.0
C062,A00244,7.4,7.8,6.2,10.0
C062,A00245,5.6,7.1,6.6,10.0
C062,A00246,7.6,6.7,6.5,10.0
C062,A00247,5.9,5.1,6.9,3.0
C062,A00248,4.5,8.4,6.6,3.0
C062,A00253,7.7,6.3,6.1,3.0
C062,A00254,4.8,5.5,6.7,10.0
C062,A00255,5.6,7.3,5.8,3.0
C062,A00256,7.8,6.0,5.0,10.0
C062,A00257,7.8,7.1,4.0,10.0
C062,A00258,6.5,7.1,6.2,3.0
C062,A00259,6.7,6.6,6.4,10.0
C062,A00260,6.1,7.9,7.9,10.0
C062,A00265,5.5,5.9,5.4,3.0
C062,A00266,5.7,6.6,5.6,3.0
C062,A00267,6.9,6.9,4.8,10.0
C062,A00268,7.1,7.3,4.3,10.0
C063,A00241,7.3,7.7,7.1,10.0
C063,A00242,7.3,6.4,5.0,10.0
C063,A00243,4.8,7.3,6.4,10.0
C063,A00244,6.2,5.5,6.8,10.0
C063,A00249,4.7,8.3,5.9,10.0
C063,A00250,6.4,6.3,7.5,10.0
C063,A00251,6.0,7.6,5.8,10.0
C063,A00252,7.6,5.1,5.1,3.0
C063,A00261,5.7,5.7,7.6,10.0
C063,A00262,4.9,6.7,7.4,10.0
C063,A00263,5.0,8.1,4.7,10.0
C063,A00264,7.2,6.8,4.1,3.0
C063,A00269,6.7,8.3,4.4,3.0
C063,A00270,4.9,6.7,5.1,10.0
C063,A00271,4.8,6.7,7.9,10.0
C063,A00272,0.0,0.0,6.2,10.0
C063,A00277,4.8,7.8,5.5,10.0
C063,A00278,7.4,5.9,7.6,10.0
C063,A00279,7.0,8.1,5.8,3.0
C063,A00280,4.8,8.2,5.3,10.0
C070,A00241,4.8,8.3,7.8,10.0
C070,A00242,8.0,6.8,7.4,10.0
C070,A00243,5.8,7.4,7.4,10.0
C070,A00244,5.8,7.7,6.0,3.0
C070,A00257,7.3,5.5,7.2,10.0
C070,A00258,7.8,7.1,4.7,10.0
C070,A00259,8.0,5.1,6.3,3.0
C070,A00260,7.1,6.7,7.9,3.0
C070,A00261,5.8,5.5,5.2,10.0
C070,A00262,4.8,5.6,7.2,3.0
C070,A00263,7.2,6.3,6.0,10.0
C070,A00264,6.5,6.5,4.2,10.0
C070,A00265,6.0,7.2,7.1,3.0
C070,A00266,7.7,5.3,4.7,10.0
C070,A00267,4.9,6.8,6.5,3.0
C070,A00268,6.2,5.6,4.3,10.0
C070,A00269,4.5,7.0,7.8,3.0
C070,A00270,6.1,7.2,5.2,10.0
C070,A00271,4.7,6.9,4.9,3.0
C070,A00272,4.9,7.6,4.5,10.0
C072,A00241,4.9,6.2,7.8,10.0
C072,A00242,6.8,7.7,6.8,3.0
C072,A00243,7.1,6.5,7.0,3.0
C072,A00244,6.5,6.7,6.0,3.0
C072,A00245,7.9,7.3,5.9,3.0
C072,A00246,0.0,0.0,4.4,10.0
C072,A00247,5.5,7.3,6.2,3.0
C072,A00248,7.5,7.2,5.0,3.0
C072,A00257,0.0,0.0,7.9,10.0
C072,A00258,0.0,0.0,7.2,10.0
C072,A00259,4.5,5.3,5.7,10.0
C072,A00260,7.9,8.2,4.6,10.0
C072,A00261,0.0,0.0,7.1,3.0
C072,A00262,0.0,0.0,4.5,3.0
C072,A00263,6.3,6.2,4.8,10.0
C072,A00264,8.0,7.1,4.8,3.0
C072,A00265,0.0,0.0,6.2,10.0
C072,A00266,6.4,5.2,7.1,10.0
C072,A00267,7.9,5.8,5.3,10.0
C072,A00268,6.3,8.1,4.3,10.0
C076,A00245,6.7,5.0,5.9,10.0
C076,A00246,6.9,5.7,7.0,10.0
C076,A00247,6.1,8.4,4.9,10.0
C076,A00248,6.7,7.1,4.9,10.0
C076,A00257,6.5,5.9,7.8,10.0
C076,A00258,7.7,5.2,7.8,10.0
C076,A00259,4.7,5.1,8.0,10.0
C076,A00260,5.5,5.9,7.2,3.0
C076,A00261,7.8,8.1,4.8,3.0
C076,A00262,7.6,6.5,4.8,10.0
C076,A00263,6.1,7.5,5.4,10.0
C076,A00264,0.0,0.0,5.3,10.0
C076,A00273,5.5,6.4,7.8,10.0
C076,A00274,5.2,5.7,7.2,3.0
C076,A00275,6.1,6.8,6.9,3.0
C076,A00276,5.7,8.2,4.7,10.0
C076,A00277,0.0,0.0,7.6,3.0
C076,A00278,4.8,5.2,7.3,10.0
C076,A00279,7.9,7.4,4.7,3.0
C076,A00280,8.0,7.0,7.5,10.0
C078,A00241,6.9,8.2,5.1,10.0
C078,A00242,6.4,5.4,4.3,3.0
C078,A00243,5.6,6.9,6.6,10.0
C078,A00244,0.0,0.0,6.6,10.0
C078,A00249,6.9,6.4,4.4,10.0
C078,A00250,5.1,6.7,5.3,3.0
C078,A00251,7.7,5.2,8.0,3.0
C078,A00252,7.4,6.0,6.7,10.0
C078,A00261,7.8,6.1,6.9,10.0
C078,A00262,7.0,8.3,4.9,10.0
C078,A00263,6.6,6.0,4.3,3.0
C078,A00264,0.0,0.0,5.1,3.0
C078,A00269,7.8,7.3,5.0,3.0
C078,A00270,7.5,5.6,4.9,10.0
C078,A00271,4.7,6.7,4.8,10.0
C078,A00272,4.6,7.6,6.3,10.0
C078,A00277,5.8,8.0,5.3,3.0
C078,A00278,7.3,7.2,7.3,10.0
C078,A00279,8.0,7.3,4.7,10.0
C078,A00280,5.0,5.4,5.9,10.0
C079,A00249,6.6,8.3,4.1,10.0
C079,A00250,5.8,5.5,5.9,10.0
C079,A00251,7.9,7.7,4.2,10.0
C079,A00252,7.4,5.9,7.9,10.0
C079,A00253,7.4,8.3,7.2,10.0
C079,A00254,6.1,7.5,6.0,3.0
C079,A00255,6.0,7.6,4.3,3.0
C079,A00256,5.5,5.8,6.4,10.0
C079,A00257,4.7,6.6,7.0,10.0
C079,A00258,7.5,7.2,4.8,10.0
C079,A00259,7.3,7.7,6.3,3.0
C079,A00260,8.0,5.4,7.3,10.0
C079,A00269,8.0,8.4,7.1,3.0
C079,A00270,6.4,8.1,7.2,10.0
C079,A00271,0.0,0.0,7.5,10.0
C079,A00272,0.0,0.0,7.8,3.0
C079,A00277,7.5,6.8,5.6,3.0
C079,A00278,5.4,6.6,6.3,3.0
C079,A00279,0.0,0.0,7.2,10.0
C079,A00280,5.0,7.0,6.8,10.0
C082,A00245,7.8,7.6,8.0,3.0
C082,A00246,6.6,6.4,4.1,10.0
C082,A00247,5.3,7.2,5.4,10.0
C082,A00248,6.9,7.4,5.1,10.0
C082,A00253,6.7,7.5,5.0,3.0
C082,A00254,5.8,5.2,4.9,10.0
C082,A00255,4.9,8.0,6.8,10.0
C082,A00256,6.9,6.6,4.3,10.0
C082,A00257,6.3,5.9,7.0,10.0
C082,A00258,0.0,0.0,6.8,3.0
C082,A00259,6.3,6.7,5.0,3.0
C082,A00260,7.5,8.1,5.0,10.0
C082,A00261,6.4,6.3,6.5,10.0
C082,A00262,6.5,7.6,7.0,10.0
C082,A00263,7.6,5.3,7.5,3.0
C082,A00264,5.9,6.7,7.4,10.0
C082,A00269,5.0,8.5,7.9,3.0
C082,A00270,4.6,7.7,6.3,10.0
C082,A00271,7.1,5.7,7.6,3.0
C082,A00272,6.7,6.8,7.2,10.0
C086,A00245,7.0,5.8,7.6,10.0
C086,A00246,5.2,6.4,4.0,3.0
C086,A00247,5.0,7.7,7.9,3.0
C086,A00248,4.6,7.7,5.9,10.0
C086,A00253,5.7,5.8,7.2,10.0
C086,A00254,6.6,8.2,4.5,3.0
C086,A00255,5.9,7.1,5.6,3.0
C086,A00256,6.0,6.3,5.1,3.0
C086,A00257,7.7,6.8,5.2,10.0
C086,A00258,5.7,7.1,4.5,3.0
C086,A00259,6.3,7.0,7.2,10.0
C086,A00260,7.2,6.7,4.0,10.0
C086,A00261,5.9,6.8,5.3,10.0
C086,A00262,6.7,5.6,4.7,10.0
C086,A00263,7.5,7.8,6.4,10.0
C086,A00264,7.8,6.9,5.0,3.0
C086,A00273,5.0,5.5,5.0,10.0
C086,A00274,7.7,7.7,6.0,3.0
C086,A00275,6.2,8.3,6.6,3.0
C086,A00276,5.4,8.3,4.5,3.0
C092,A00241,6.1,6.3,4.7,3.0
C092,A00242,7.9,5.5,5.0,10.0
C092,A00243,6.2,6.8,7.9,10.0
C092,A00244,5.7,5.4,5.6,10.0
C092,A00245,6.7,8.3,6.4,3.0
C092,A00246,0.0,0.0,5.0,3.0
C092,A00247,4.8,5.9,6.0,3.0
C092,A00248,5.0,6.4,4.3,10.0
C092,A00249,4.9,6.3,4.1,3.0
C092,A00250,5.0,7.8,5.9,10.0
C092,A00251,5.0,6.6,5.6,10.0
C092,A00252,6.7,5.6,4.5,10.0
C092,A00253,5.1,5.9,6.8,10.0
C092,A00254,5.7,6.8,8.0,10.0
C092,A00255,7.6,5.5,5.6,10.0
C092,A00256,6.2,7.1,6.5,3.0
C092,A00277,6.8,7.0,7.9,10.0
C092,A00278,5.1,7.5,7.3,10.0
C092,A00279,5.2,8.3,5.9,3.0
C092,A00280,4.6,8.2,6.9,10.0
C093,A00241,5.1,8.3,4.5,3.0
C093,A00242,5.5,5.9,6.0,3.0
C093,A00243,5.1,5.5,5.1,10.0
C093,A00244,4.8,6.1,4.6,10.0
C093,A00249,4.9,8.1,5.7,10.0
