student_unique_id,course_unique_id,assignment_total,assignment_max_total,midterm_grade,final_grade,total_course_grade,performance_level,student_system_type,general_grade_level,used_mercy,course_status,grade_description
C028,C069,15,20,13,55,83,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C028,C070,18,20,13,58,89,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C029,C061,13,20,20,59,92,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C029,C065,10,20,20,45,75,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C029,C066,15,20,13,54,82,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C029,C067,10,20,12,47,69,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C029,C070,13,20,16,47,76,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C035,C062,10,20,14,52,76,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C035,C063,16,20,19,51,86,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C035,C066,15,20,12,52,79,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C035,C067,18,20,16,51,85,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C035,C068,11,20,12,42,65,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C036,C061,6,20,17,57,80,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C036,C063,20,20,20,58,98,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C036,C066,10,20,20,57,87,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C036,C068,18,20,19,41,78,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C036,C070,18,20,18,55,91,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C038,C061,15,20,13,44,72,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C038,C064,15,20,15,59,89,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C038,C065,16,20,13,45,74,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C038,C066,18,20,13,49,80,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C038,C068,20,20,19,42,81,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C041,C062,18,20,18,40,76,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C041,C063,10,20,18,50,78,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C041,C064,15,20,19,42,76,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C041,C065,13,20,13,42,68,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C041,C066,10,20,14,51,75,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C048,C063,18,20,19,54,91,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C048,C064,16,20,18,48,82,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C048,C065,18,20,15,60,93,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C048,C067,16,20,20,52,88,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C048,C070,14,20,20,42,76,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C049,C061,18,20,18,40,76,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C049,C062,15,20,12,43,70,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C049,C065,13,20,13,41,67,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C049,C066,13,20,14,47,74,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C049,C070,16,20,14,56,86,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C052,C062,18,20,18,53,89,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C052,C063,11,20,19,50,80,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C052,C064,15,20,12,47,74,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C052,C066,11,20,15,49,75,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C052,C067,18,20,15,46,79,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C057,C061,20,20,19,59,98,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C057,C062,5,20,19,51,75,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C057,C063,20,20,14,60,94,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C057,C066,11,20,12,56,79,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C057,C068,14,20,15,52,81,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C060,C062,6,20,16,48,70,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C060,C063,10,20,15,54,79,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C060,C064,20,20,16,55,91,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C060,C065,15,20,17,40,72,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C060,C069,8,20,16,60,84,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C062,C061,14,20,12,44,70,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C062,C062,18,20,13,58,89,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C062,C064,11,20,12,50,73,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C062,C065,13,20,17,45,75,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C062,C067,20,20,18,42,80,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C063,C061,15,20,19,45,79,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C063,C063,18,20,19,51,88,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C063,C066,15,20,13,59,87,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C063,C068,18,20,16,45,79,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C063,C070,18,20,12,55,85,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C070,C061,13,20,13,53,79,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C070,C065,18,20,17,45,80,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C070,C066,20,20,15,55,90,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C070,C067,18,20,20,55,93,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C070,C068,16,20,20,52,88,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C072,C061,11,20,16,42,69,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C072,C062,10,20,12,45,67,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C072,C065,18,20,14,59,91,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C072,C066,11,20,16,58,85,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C072,C067,18,20,20,56,94,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C076,C062,8,20,15,51,74,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C076,C065,11,20,20,60,91,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C076,C066,16,20,17,57,90,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C076,C069,11,20,15,58,84,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C076,C070,9,20,15,52,76,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C078,C061,16,20,18,46,80,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C078,C063,15,20,13,54,82,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C078,C066,13,20,16,55,84,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C078,C068,18,20,17,57,92,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C078,C070,11,20,13,43,67,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C079,C063,15,20,13,47,75,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C079,C064,18,20,19,44,81,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C079,C065,13,20,16,43,72,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C079,C068,18,20,18,44,80,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C079,C070,13,20,12,56,81,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C082,C062,18,20,20,50,88,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C082,C064,6,20,12,57,75,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C082,C065,18,20,15,51,84,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C082,C066,18,20,17,49,84,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C082,C068,10,20,19,44,73,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C086,C062,14,20,20,46,80,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C086,C064,15,20,12,49,76,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C086,C065,15,20,12,43,70,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C086,C066,16,20,13,53,82,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C086,C069,15,20,18,51,84,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C092,C061,5,20,16,45,66,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C092,C062,20,20,16,45,81,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C092,C063,18,20,15,59,92,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C092,C064,15,20,19,42,76,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C092,C070,13,20,14,56,83,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C093,C061,16,20,14,60,90,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C093,C063,13,20,15,55,83,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C093,C066,18,20,16,51,85,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C093,C069,8,20,15,59,82,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C093,C070,18,20,19,47,84,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C095,C061,13,20,17,40,70,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C095,C062,16,20,17,43,76,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C095,C063,15,20,17,53,85,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C095,C064,13,20,16,60,89,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C095,C069,8,20,20,51,79,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C096,C062,13,20,19,48,80,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C096,C063,13,20,17,50,80,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C096,C065,13,20,20,40,73,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C096,C069,15,20,13,40,68,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C096,C070,18,20,14,58,90,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C099,C061,14,20,18,45,77,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C099,C062,5,20,13,57,75,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C099,C065,18,20,17,44,79,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C099,C067,13,20,17,54,84,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C099,C069,18,20,17,48,83,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C100,C061,8,20,14,45,67,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C100,C063,15,20,15,47,77,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C100,C065,18,20,16,54,88,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C100,C067,20,20,13,48,81,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C100,C069,10,20,16,48,74,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C103,C062,20,20,18,56,94,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C103,C063,5,20,15,48,68,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C103,C066,8,20,12,55,75,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C103,C067,13,20,16,54,83,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C103,C068,13,20,20,57,90,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C114,C062,10,20,17,42,69,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C114,C064,9,20,15,55,79,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C114,C066,11,20,16,44,71,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C114,C067,16,20,17,42,75,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C114,C068,16,20,16,42,74,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C116,C062,13,20,15,45,73,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C116,C063,20,20,20,57,97,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C116,C068,13,20,16,44,73,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C116,C069,13,20,20,40,73,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C116,C070,13,20,14,42,69,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C117,C064,18,20,13,47,78,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C117,C065,20,20,16,43,79,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C117,C066,10,20,16,49,75,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C117,C068,16,20,16,56,88,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C117,C069,18,20,16,45,79,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C119,C061,20,20,16,48,84,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C119,C062,13,20,19,41,73,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C119,C064,16,20,19,43,78,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C119,C068,20,20,12,56,88,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C119,C070,15,20,19,41,75,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C126,C061,20,20,13,60,93,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C126,C064,18,20,13,57,88,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C126,C065,13,20,13,41,67,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C126,C066,16,20,19,60,95,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C126,C070,11,20,20,46,77,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C127,C061,16,20,20,47,83,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C127,C063,15,20,13,58,86,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C127,C066,11,20,17,55,83,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C127,C068,13,20,16,40,69,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C127,C069,11,20,12,60,83,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C131,C066,10,20,17,44,71,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C131,C067,15,20,14,44,73,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C131,C068,18,20,20,43,81,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C131,C069,11,20,14,42,67,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C131,C070,20,20,18,43,81,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C137,C062,20,20,15,49,84,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C137,C063,16,20,14,44,74,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C137,C065,15,20,17,46,78,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C137,C066,20,20,12,56,88,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C137,C069,16,20,20,40,76,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C141,C061,16,20,18,54,88,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C141,C062,18,20,12,40,70,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C141,C064,11,20,14,56,81,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C141,C065,6,20,15,57,78,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C141,C067,10,20,17,59,86,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C144,C061,13,20,19,56,88,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C144,C063,15,20,15,55,85,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C144,C064,6,20,18,41,65,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C144,C066,18,20,14,53,85,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C144,C069,13,20,18,43,74,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C145,C063,18,20,18,47,83,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C145,C064,10,20,12,53,75,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C145,C065,20,20,20,49,89,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C145,C067,13,20,14,54,81,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C145,C068,18,20,14,56,88,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C146,C062,11,20,15,55,81,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C146,C063,10,20,15,51,76,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C146,C065,18,20,18,53,89,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C146,C066,15,20,12,59,86,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C146,C067,3,20,16,44,63,PASS,Credit,غير مُطبق,FALSE,Pass,مقبول
C150,C062,15,20,14,45,74,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C150,C064,11,20,14,60,85,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C150,C066,18,20,16,41,75,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C150,C069,3,20,17,56,76,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C150,C070,15,20,19,47,81,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C157,C063,13,20,13,56,82,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C157,C064,15,20,18,54,87,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C157,C067,20,20,15,40,75,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C157,C068,20,20,19,58,97,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C157,C069,3,20,15,56,74,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C162,C061,15,20,15,52,82,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C162,C063,10,20,17,53,80,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C162,C064,16,20,18,47,81,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C162,C065,13,20,15,46,74,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C162,C070,18,20,15,57,90,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C163,C063,16,20,19,43,78,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C163,C066,20,20,17,50,87,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C163,C067,18,20,13,46,77,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C163,C069,8,20,20,41,69,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C163,C070,15,20,15,57,87,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C165,C064,6,20,13,53,72,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C165,C065,18,20,14,51,83,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C165,C066,18,20,20,49,87,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C165,C067,10,20,19,46,75,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C165,C069,13,20,14,60,87,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C169,C061,10,20,13,51,74,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C169,C062,13,20,15,43,71,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C169,C067,12,20,12,50,74,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C169,C069,18,20,19,54,91,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C169,C070,11,20,17,47,75,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C172,C061,15,20,12,53,80,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C172,C065,10,20,17,58,85,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C172,C066,20,20,18,42,80,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C172,C067,20,20,13,58,91,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C172,C070,20,20,20,58,98,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C174,C062,13,20,13,54,80,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C174,C064,18,20,20,44,82,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C174,C065,14,20,16,60,90,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C174,C068,18,20,19,54,91,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C174,C070,13,20,16,52,81,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C178,C061,8,20,16,44,68,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C178,C062,18,20,12,58,88,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C178,C063,11,20,15,59,85,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C178,C064,6,20,17,46,69,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C178,C067,10,20,13,46,69,PASS,Credit,غير مُطبق,FALSE,Pass,جيد
C179,C061,20,20,14,50,84,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C179,C064,20,20,12,52,84,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
C179,C066,20,20,15,41,76,PASS,Credit,غير مُطبق,FALSE,Pass,جيد جدًا
